,size,best_case,worst_case,average_case
1,1.0,1.0414000000014134e-05,9.622499999994982e-05,5.453900000007561e-05
2,2.0,3.9841999999956634e-05,0.00039911100000000754,0.0002293190000000056
3,3.0,2.9365000000058927e-05,0.0009094570000000024,0.0004886799999999081
4,4.0,3.843500000000333e-05,0.0017576420000000592,0.0008500439999999942
5,5.0,4.891200000001206e-05,0.0025722940000000305,0.001273439999999959
6,6.0,5.833899999996284e-05,0.0037143389999999554,0.001748628999999946
7,7.0,6.840399999996638e-05,0.005230210999999985,0.002721001999999917
8,8.0,7.727800000001395e-05,0.007031231999999998,0.003429954000000013
9,9.0,8.695899999999757e-05,0.008429283999999981,0.003956371999999986
10,10.0,9.980099999995495e-05,0.011037526999999936,0.005301335999999934
11,11.0,0.00010773799999996836,0.012948893000000017,0.006385511999999927
12,12.0,0.00011978400000001166,0.015134314999999954,0.007660524999999918
13,13.0,0.00012766599999991524,0.017739639000000085,0.008358827999999985
14,14.0,0.00014023899999993095,0.02142753900000005,0.010139830999999933
15,15.0,0.00014770399999997075,0.02578600199999992,0.011496528999999978
16,16.0,0.00015997200000006373,0.027360241999999868,0.012912856999999889
17,17.0,0.00017618400000007917,0.031545798000000014,0.01373402899999987
18,18.0,0.00018396799999997882,0.03510372800000017,0.017416659
19,19.0,0.0003903729999998884,0.037961445999999954,0.01775496100000007
20,20.0,0.00020173400000000896,0.043102851,0.020819708999999964
21,21.0,0.00020736700000001385,0.046493387000000164,0.022595692999999972
22,22.0,0.00022581099999996468,0.05178442300000019,0.02544999399999992
23,23.0,0.00022922000000002996,0.05583219600000011,0.02786254499999985
24,24.0,0.0002483469999998711,0.06244296199999999,0.03140495700000012
25,25.0,0.0002505850000000809,0.06571631599999983,0.03209948000000007
26,26.0,0.000267533000000153,0.072192488,0.03509968000000008
27,27.0,0.0002704730000000488,0.07649832100000009,0.036457573000000076
28,28.0,0.00028846500000012654,0.08661038499999996,0.043326955999999806
29,29.0,0.00029286600000011376,0.0892656409999999,0.04239879499999999
30,30.0,0.0003384550000000708,0.09740373200000008,0.04448439599999965
31,31.0,0.0003295340000000202,0.1026440700000002,0.04857204199999998
32,32.0,0.00033495999999999526,0.1112124320000003,0.054412869999999725
33,33.0,0.0003304570000000062,0.11517197999999995,0.05758375799999982
34,34.0,0.00036982399999985205,0.12764199299999968,0.06123274200000006
35,35.0,0.00035106100000037443,0.13111029299999988,0.06359501199999995
36,36.0,0.0003785250000003515,0.1409483119999999,0.06918652599999975
37,37.0,0.00037192600000013343,0.14479736899999995,0.06748064200000004
38,38.0,0.00039911100000011857,0.15832204599999988,0.07610220099999987
39,39.0,0.0003977339999998719,0.16661208000000016,0.07602519700000032
40,40.0,0.0004232709999998363,0.1802847270000001,0.0838373429999999
41,41.0,0.0004264959999993323,0.18304814199999964,0.08930090099999966
42,42.0,0.0004243330000006651,0.18941577200000026,0.09043190800000023
43,43.0,0.000470482999999966,0.20463733299999998,0.09964974499999979
44,44.0,0.00044384300000022137,0.20839734900000018,0.09981456499999997
45,45.0,0.00047276100000015475,0.22310704700000006,0.10661827400000057
46,46.0,0.0004630099999998194,0.22605725900000007,0.1098839749999998
47,47.0,0.0004885889999997062,0.24182843899999984,0.11331410099999939
48,48.0,0.0005087889999995099,0.24786495400000064,0.11549951800000002
49,49.0,0.0005137319999999335,0.2644679700000001,0.13039131100000034
50,50.0,0.0005051099999997533,0.2676851110000005,0.12499504999999989
51,51.0,0.0005392309999994183,0.2899978420000009,0.14069197199999994
52,52.0,0.0005249469999988321,0.28816287600000123,0.1417559879999999
53,53.0,0.0005814199999996106,0.31280210100000083,0.15361408799999943
54,54.0,0.0005458839999992193,0.31309298800000107,0.15290140699999988
55,55.0,0.0005770270000002853,0.33581469399999975,0.157395296999999
56,56.0,0.0005654049999996857,0.3348042059999994,0.15317556499999974
57,57.0,0.0005965030000005811,0.35912103599999945,0.17431329699999942
58,58.0,0.0006139659999995217,0.3620356359999999,0.1704125879999996
59,59.0,0.0006190510000010363,0.3883258309999995,0.18554597999999878
60,60.0,0.000629917999999563,0.39753026300000016,0.1929481769999999
61,61.0,0.0006376159999987863,0.4121660150000004,0.19741445799999902
62,62.0,0.0006470780000000786,0.42390912400000147,0.19860012700000063
63,63.0,0.0006583189999993522,0.4357684029999991,0.2096353880000006
64,64.0,0.0006676630000015393,0.45251103199999854,0.21525794100000084
65,65.0,0.000680131000001083,0.4663937109999985,0.23053780000000046
66,66.0,0.0006885389999986558,0.47915937500000183,0.23238017200000272
67,67.0,0.000700073999997386,0.4954347840000004,0.23835006900000266
68,68.0,0.000712588999999042,0.5135055619999989,0.24418602700000136
69,69.0,0.0007221689999994396,0.5253687859999978,0.2571026279999984
70,70.0,0.0009702189999991617,0.5388741170000024,0.2551888120000001
71,71.0,0.0007409000000002663,0.5576783540000001,0.2701526439999995
72,72.0,0.0007526859999984481,0.5764678449999998,0.269806612
73,73.0,0.0007661699999985672,0.5914525399999988,0.2792869499999995
74,74.0,0.0007744669999993903,0.6069384820000003,0.28492863099999965
75,75.0,0.0007962350000028096,0.6245650259999991,0.28912801099999896
76,76.0,0.0007989449999996623,0.6424876600000005,0.3062985169999983
77,77.0,0.0007916819999991276,0.651837865000001,0.3111425210000007
78,78.0,0.000825029999997895,0.6919429309999998,0.3242346210000022
79,79.0,0.0008280590000033783,0.6944586350000002,0.3284415179999982
80,80.0,0.0008368109999992157,0.7087287169999996,0.33566629399999925
81,81.0,0.0008478359999983809,0.7270126260000005,0.3452886310000025
82,82.0,0.0008587790000014195,0.7461577530000021,0.3550620310000028
83,83.0,0.0008672159999996154,0.7648419510000011,0.3627745520000012
84,84.0,0.0008849239999975111,0.7838371120000005,0.36664870300000274
85,85.0,0.00090429099999767,0.8015835080000002,0.38553361599999647
86,86.0,0.0009165689999974802,0.8239615110000003,0.3961781430000002
87,87.0,0.0009115029999975377,0.8399263750000046,0.39759691799999786
88,88.0,0.0009650719999996227,0.8653632399999935,0.411059305000002
89,89.0,0.0009830679999964786,0.8859938069999984,0.42221154599999977
90,90.0,0.0009512970000002952,0.9056591149999988,0.44131830699999597
